BIO_ZONE,observation,severity
Balsam-fir-white birch,669,5.925012787
Balsam-fir-white birch,670,5.925012787
Balsam-fir-white birch,671,5.925012787
Balsam-fir-white birch,672,5.925012787
Balsam-fir-white birch,673,19.14818363
Balsam-fir-white birch,674,19.14818363
Balsam-fir-white birch,675,19.14818363
Balsam-fir-white birch,676,19.14818363
Balsam-fir-yellow birch,677,36.96477021
Balsam-fir-yellow birch,678,36.96477021
Balsam-fir-yellow birch,679,36.96477021
Balsam-fir-yellow birch,680,36.96477021
Balsam-fir-yellow birch,681,40.73574362
Balsam-fir-yellow birch,682,40.73574362
Balsam-fir-yellow birch,683,40.73574362
Balsam-fir-yellow birch,684,40.73574362
Balsam-fir-white birch,685,9.23831371
Balsam-fir-white birch,686,9.23831371
Balsam-fir-white birch,687,9.23831371
Balsam-fir-white birch,688,9.23831371
Balsam-fir-yellow birch,689,79.7729479
Balsam-fir-yellow birch,690,79.7729479
Balsam-fir-yellow birch,691,79.7729479
Balsam-fir-yellow birch,692,79.7729479
Balsam-fir-yellow birch,693,10.01706065
Balsam-fir-yellow birch,694,10.01706065
Balsam-fir-yellow birch,695,10.01706065
Balsam-fir-yellow birch,696,10.01706065
Balsam-fir-white birch,697,22.05237093
Balsam-fir-white birch,698,22.05237093
Balsam-fir-white birch,699,22.05237093
Balsam-fir-white birch,700,22.05237093
Balsam-fir-white birch,701,12.1125127
Balsam-fir-white birch,702,12.1125127
Balsam-fir-white birch,703,12.1125127
Balsam-fir-white birch,704,12.1125127
Balsam-fir-white birch,705,1.047641804
Balsam-fir-white birch,706,1.047641804
Balsam-fir-yellow birch,707,3.981423266
Balsam-fir-yellow birch,708,3.981423266
Balsam-fir-yellow birch,709,3.981423266
Balsam-fir-yellow birch,710,3.981423266
Balsam-fir-yellow birch,711,19.79116914
Balsam-fir-yellow birch,712,19.79116914
Balsam-fir-yellow birch,713,19.79116914
Balsam-fir-yellow birch,714,19.79116914
Balsam-fir-white birch,715,5.155627215
Balsam-fir-white birch,716,5.155627215
Balsam-fir-white birch,717,5.155627215
Balsam-fir-white birch,718,5.155627215
Balsam-fir-yellow birch,719,5.954937452
Balsam-fir-yellow birch,720,5.954937452
Balsam-fir-yellow birch,721,1.957965774
Balsam-fir-yellow birch,722,1.957965774
Balsam-fir-yellow birch,723,16.05449382
Balsam-fir-yellow birch,724,16.05449382
Balsam-fir-yellow birch,725,5.574677504
Balsam-fir-yellow birch,726,5.574677504
Balsam-fir-yellow birch,727,5.574677504
Balsam-fir-yellow birch,728,5.574677504
Balsam-fir-yellow birch,729,5.574677504
Balsam-fir-yellow birch,730,11.59083584
Balsam-fir-yellow birch,731,11.59083584
Balsam-fir-yellow birch,732,11.59083584
Balsam-fir-yellow birch,733,11.59083584
Balsam-fir-yellow birch,734,11.59083584
Balsam-fir-yellow birch,735,0.749792855
Balsam-fir-yellow birch,736,0.749792855
Balsam-fir-yellow birch,737,1.014261525
Balsam-fir-yellow birch,738,1.014261525
Balsam-fir-yellow birch,739,3.17936176
Balsam-fir-yellow birch,740,3.17936176
Balsam-fir-yellow birch,741,3.17936176
Balsam-fir-yellow birch,742,3.17936176
Balsam-fir-yellow birch,743,3.17936176
Balsam-fir-yellow birch,744,3.17936176
Balsam-fir-yellow birch,745,15.14496899
Balsam-fir-yellow birch,746,15.14496899
Balsam-fir-yellow birch,747,15.14496899
Balsam-fir-yellow birch,748,100
Balsam-fir-yellow birch,749,100
Balsam-fir-yellow birch,750,100
Balsam-fir-yellow birch,751,100
Balsam-fir-yellow birch,752,1.119788514
Balsam-fir-yellow birch,753,1.119788514
Balsam-fir-yellow birch,754,1.119788514
Balsam-fir-yellow birch,755,1.119788514
Balsam-fir-yellow birch,756,0.997247393
Balsam-fir-yellow birch,757,0.997247393
Balsam-fir-yellow birch,758,0.997247393
Balsam-fir-yellow birch,759,15.0923351
Balsam-fir-yellow birch,760,15.0923351
Balsam-fir-yellow birch,761,15.0923351
Balsam-fir-yellow birch,762,15.0923351
Balsam-fir-yellow birch,763,3.961696857
Balsam-fir-yellow birch,764,3.961696857
Balsam-fir-yellow birch,765,3.961696857
Balsam-fir-yellow birch,766,3.961696857
Balsam-fir-yellow birch,767,11.9548806
Balsam-fir-yellow birch,768,11.9548806
Balsam-fir-yellow birch,769,11.9548806
Balsam-fir-yellow birch,770,11.9548806
Balsam-fir-yellow birch,771,5.375612441
Balsam-fir-yellow birch,772,5.375612441
Balsam-fir-yellow birch,773,5.375612441
Balsam-fir-yellow birch,774,5.375612441
